sample-id	location	location_detail	sterility	imo_stage	imo_num
#q2:types	categorical	categorical	categorical	categorical	numeric
COMM-16S	control	control	control	control	0
EM1-16S	control	control	control	control	0
IMOL1-16S	SCP	scp_sterile	sterile	imo1	1
IMOL2-16S	NYBG	nybg_b	raw	imo1	1
IMOL3-16S	SCP	scp_a	raw	imo2_d3	2
IMOL4-16S	SCP	scp_c	raw	soil	0
IMOL5-16S	NYBG	nybg_b	raw	imo2_d3	2
IMOL6-16S	SCP	scp_c	raw	imo2_d7	3
IMOL7-16S	SCP	scp_a	raw	imo2_d7	3
IMOL8-16S	NYBG	nybg_sterile	sterile	imo2_d3	2
IMOL9-16S	SCP	scp_b	raw	imo1	1
IMOL10-16S	NYBG	nybg_sterile	sterile	imo1	1
IMOL11-16S	SCP	scp_c	raw	imo2_d3	2
IMOL12-16S	NYBG	nybg_c	raw	soil	0
IMOL13-16S	SCP	scp_b	raw	imo2_d7	3
IMOL14-16S	SCP	scp_c	raw	imo1	1
IMOL15-16S	NYBG	nybg_sterile	sterile	imo2_d7	3
IMOL16-16S	NYBG	nybg_a	raw	soil	0
IMOL17-16S	SCP	scp_sterile	sterile	imo2_d3	2
IMOL18-16S	NYBG	nybg_b	raw	imo2_d7	3
IMOL19-16S	SCP	scp_a	raw	soil	0
IMOL20-16S	SCP	scp_a	raw	imo1	1
IMOL21-16S	NYBG	nybg_b	raw	soil	0
IMOL22-16S	SCP	scp_sterile	sterile	imo2_d7	3
IMOL23-16S	SCP	scp_b	raw	soil	0
IMOL24-16S	SCP	scp_b	raw	imo2_d3	2
IMOL25-16S	MC	mc_sterile	sterile	imo1	1
IMOL26-16S	MC	mc_a	raw	imo2_d3	2
IMOL27-16S	MC	mc_a	raw	soil	0
IMOL28-16S	MC	mc_c	raw	soil	0
IMOL29-16S	MC	mc_b	raw	imo2_d3	2
IMOL30-16S	MC	mc_a	raw	imo2_d7	3
IMOL31-16S	MC	mc_c	raw	imo2_d7	3
IMOL32-16S	MC	mc_a	raw	imo1	1
IMOL33-16S	MC	mc_b	raw	imo1	1
IMOL34-16S	MC	mc_c	raw	imo1	1
IMOL35-16S	MC	mc_c	raw	imo2_d3	2
IMOL36-16S	MC	mc_sterile	sterile	imo2_d3	2
IMOL37-16S	MC	mc_b	raw	imo2_d7	3
IMOL38-16S	MC	mc_sterile	sterile	imo2_d7	3
IMOL39-16S	MC	mc_b	raw	soil	0
IMOL40-16S	control	control	control	control	0
COMM-ITS	control	control	control	control	0
EM1-ITS	control	control	control	control	0
IMOL1-ITS	SCP	scp_sterile	sterile	imo1	1
IMOL2-ITS	NYBG	nybg_b	raw	imo1	1
IMOL3-ITS	SCP	scp_a	raw	imo2_d3	2
IMOL4-ITS	SCP	scp_c	raw	soil	0
IMOL5-ITS	NYBG	nybg_b	raw	imo2_d3	2
IMOL6-ITS	SCP	scp_c	raw	imo2_d7	3
IMOL7-ITS	SCP	scp_a	raw	imo2_d7	3
IMOL8-ITS	NYBG	nybg_sterile	sterile	imo2_d3	2
IMOL9-ITS	SCP	scp_b	raw	imo1	1
IMOL10-ITS	NYBG	nybg_sterile	sterile	imo1	1
IMOL11-ITS	SCP	scp_c	raw	imo2_d3	2
IMOL12-ITS	NYBG	nybg_c	raw	soil	0
IMOL13-ITS	SCP	scp_b	raw	imo2_d7	3
IMOL14-ITS	SCP	scp_c	raw	imo1	1
IMOL15-ITS	NYBG	nybg_sterile	sterile	imo2_d7	3
IMOL16-ITS	NYBG	nybg_a	raw	soil	0
IMOL17-ITS	SCP	scp_sterile	sterile	imo2_d3	2
IMOL18-ITS	NYBG	nybg_b	raw	imo2_d7	3
IMOL19-ITS	SCP	scp_a	raw	soil	0
IMOL20-ITS	SCP	scp_a	raw	imo1	1
IMOL21-ITS	NYBG	nybg_b	raw	soil	0
IMOL22-ITS	SCP	scp_sterile	sterile	imo2_d7	3
IMOL23-ITS	SCP	scp_b	raw	soil	0
IMOL24-ITS	SCP	scp_b	raw	imo2_d3	2
IMOL25-ITS	MC	mc_sterile	sterile	imo1	1
IMOL26-ITS	MC	mc_a	raw	imo2_d3	2
IMOL27-ITS	MC	mc_a	raw	soil	0
IMOL28-ITS	MC	mc_c	raw	soil	0
IMOL29-ITS	MC	mc_b	raw	imo2_d3	2
IMOL30-ITS	MC	mc_a	raw	imo2_d7	3
IMOL31-ITS	MC	mc_c	raw	imo2_d7	3
IMOL32-ITS	MC	mc_a	raw	imo1	1
IMOL33-ITS	MC	mc_b	raw	imo1	1
IMOL34-ITS	MC	mc_c	raw	imo1	1
IMOL35-ITS	MC	mc_c	raw	imo2_d3	2
IMOL36-ITS	MC	mc_sterile	sterile	imo2_d3	2
IMOL37-ITS	MC	mc_b	raw	imo2_d7	3
IMOL38-ITS	MC	mc_sterile	sterile	imo2_d7	3
IMOL39-ITS	MC	mc_b	raw	soil	0
IMOL40-ITS	control	control	control	control	0
